=== INDICATOR VERIFICATION REPORT ===

Total files processed: 319

=== PROCESSED PAIRS ===
             symbol  rows  indicators                                  date_range
193         TRXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
194        AVAXUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
195         XLMUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
196         ZRXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
197         ICXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
198       BRETTUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
199         LTCUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
200         VETUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
201         COSUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
202         JUPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
203     1000XECUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
204         XRPUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
205  1000000MOGUSDT   420          39  2024-11-07 11:00:00 to 2024-11-24 22:00:00
206         XAIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
207         UMAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
208        ZETAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
209        MASKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
210         MTLUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
211      PORTALUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
212        CAKEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
213         SEIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
214        MANAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
215        AAVEUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
216         YGGUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
217        GHSTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
218       METISUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
219        DYDXUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
220         DIAUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
221         NOTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
222        LINAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
223         BTCUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
224     AUCTIONUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
225         FLMUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
226         REIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
227       CETUSUSDT   444          39  2024-11-06 12:00:00 to 2024-11-24 23:00:00
228         TONUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
229       POLYXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
230        MBOXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
231        AEVOUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
232         YFIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
233         WIFUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
234         STXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
235        RUNEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
236         AKTUSDT   157          39  2024-11-18 10:00:00 to 2024-11-24 22:00:00
